angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(846, 238, 351, 351)",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"(842, 234, 356, 356)",0.0,0.05,0.0,0.87,0.04,0.02
0.01,"(843, 234, 355, 355)",0.0,0.06,0.0,0.85,0.05,0.02
0.01,"(842, 234, 357, 357)",0.0,0.07,0.0,0.84,0.05,0.02
0.01,"(843, 234, 356, 356)",0.0,0.08,0.0,0.83,0.06,0.03
0.01,"(843, 234, 356, 356)",0.0,0.08,0.0,0.83,0.06,0.03
0.01,"(842, 232, 359, 359)",0.0,0.08,0.0,0.84,0.05,0.03
0.01,"(842, 232, 359, 359)",0.0,0.08,0.0,0.83,0.05,0.03
0.01,"(842, 229, 358, 358)",0.0,0.21,0.0,0.38,0.05,0.35
0.01,"(841, 228, 359, 359)",0.0,0.24,0.0,0.36,0.05,0.35
0.01,"(841, 228, 359, 359)",0.0,0.24,0.0,0.36,0.05,0.34
0.01,"(848, 229, 356, 356)",0.0,0.41,0.0,0.06,0.02,0.5
0.01,"(847, 228, 356, 356)",0.0,0.38,0.0,0.08,0.02,0.52
0.03,"(848, 229, 354, 354)",0.0,0.38,0.04,0.03,0.02,0.51
0.03,"(848, 230, 354, 354)",0.0,0.35,0.05,0.02,0.02,0.54
0.03,"(848, 231, 353, 353)",0.0,0.33,0.05,0.02,0.01,0.57
0.01,"(852, 230, 348, 348)",0.0,0.03,0.67,0.01,0.0,0.28
0.01,"(852, 230, 348, 348)",0.0,0.03,0.66,0.01,0.0,0.29
0.0,"(850, 228, 349, 349)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(849, 227, 351, 351)",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"(849, 227, 351, 351)",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"(833, 210, 372, 372)",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"(853, 227, 347, 347)",0.0,0.0,0.97,0.0,0.0,0.02
