angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.17,"(843, 239, 354, 354)",0.0,0.11,0.0,0.25,0.45,0.02
0.15,"(845, 240, 352, 352)",0.0,0.13,0.0,0.21,0.49,0.02
0.18,"(844, 240, 352, 352)",0.0,0.12,0.0,0.25,0.44,0.02
0.17,"(844, 240, 352, 352)",0.0,0.12,0.0,0.25,0.43,0.02
0.13,"(844, 239, 352, 352)",0.0,0.13,0.0,0.27,0.45,0.02
0.13,"(845, 239, 352, 352)",0.0,0.12,0.0,0.29,0.44,0.02
0.13,"(845, 239, 352, 352)",0.0,0.12,0.0,0.29,0.44,0.02
0.14,"(844, 239, 351, 351)",0.0,0.11,0.0,0.26,0.47,0.01
0.14,"(844, 239, 351, 351)",0.0,0.11,0.0,0.27,0.47,0.01
0.13,"(845, 239, 351, 351)",0.0,0.12,0.0,0.31,0.43,0.01
0.13,"(845, 239, 351, 351)",0.0,0.12,0.0,0.31,0.42,0.01
0.13,"(845, 239, 351, 351)",0.0,0.12,0.0,0.31,0.42,0.01
0.14,"(845, 241, 351, 351)",0.0,0.15,0.0,0.34,0.34,0.02
0.14,"(845, 241, 351, 351)",0.0,0.16,0.0,0.34,0.34,0.02
0.11,"(839, 236, 359, 359)",0.0,0.16,0.0,0.22,0.47,0.04
0.1,"(839, 236, 360, 360)",0.0,0.17,0.0,0.28,0.4,0.05
0.1,"(839, 236, 360, 360)",0.0,0.17,0.0,0.28,0.4,0.05
0.1,"(838, 233, 362, 362)",0.0,0.15,0.0,0.25,0.47,0.03
0.1,"(838, 233, 362, 362)",0.0,0.15,0.0,0.25,0.47,0.03
0.09,"(837, 233, 363, 363)",0.0,0.16,0.0,0.28,0.42,0.05
0.09,"(837, 233, 363, 363)",0.0,0.16,0.0,0.28,0.42,0.05
0.09,"(837, 233, 363, 363)",0.0,0.16,0.0,0.28,0.42,0.05
0.07,"(837, 232, 363, 363)",0.0,0.15,0.0,0.36,0.38,0.04
0.09,"(838, 232, 362, 362)",0.0,0.13,0.0,0.34,0.4,0.04
0.09,"(840, 232, 360, 360)",0.0,0.15,0.0,0.27,0.45,0.04
0.12,"(840, 232, 359, 359)",0.0,0.16,0.0,0.22,0.47,0.04
0.12,"(840, 232, 359, 359)",0.0,0.16,0.0,0.22,0.47,0.04
0.11,"(839, 232, 359, 359)",0.0,0.15,0.0,0.29,0.41,0.04
0.11,"(839, 232, 359, 359)",0.0,0.16,0.0,0.28,0.41,0.04
0.1,"(839, 234, 358, 358)",0.0,0.15,0.0,0.37,0.35,0.04
0.1,"(839, 234, 358, 358)",0.0,0.15,0.0,0.37,0.35,0.04
0.1,"(839, 235, 357, 357)",0.0,0.15,0.0,0.3,0.4,0.05
0.09,"(838, 233, 359, 359)",0.0,0.15,0.0,0.3,0.4,0.06
0.09,"(838, 234, 359, 359)",0.0,0.17,0.0,0.31,0.37,0.06
0.09,"(842, 238, 354, 354)",0.0,0.2,0.0,0.4,0.27,0.05
0.09,"(842, 238, 354, 354)",0.0,0.2,0.0,0.4,0.27,0.05
0.09,"(842, 238, 354, 354)",0.0,0.2,0.0,0.4,0.27,0.05
0.07,"(833, 231, 360, 360)",0.0,0.12,0.0,0.3,0.49,0.02
0.07,"(840, 235, 358, 358)",0.0,0.16,0.0,0.41,0.32,0.05
0.08,"(830, 232, 359, 359)",0.0,0.18,0.0,0.3,0.41,0.03
0.08,"(830, 232, 359, 359)",0.0,0.18,0.0,0.29,0.41,0.03
0.08,"(830, 232, 359, 359)",0.0,0.18,0.0,0.29,0.41,0.03
0.07,"(843, 238, 351, 351)",0.0,0.15,0.0,0.42,0.32,0.03
0.07,"(843, 238, 351, 351)",0.0,0.15,0.0,0.43,0.32,0.03
0.07,"(844, 239, 350, 350)",0.0,0.17,0.0,0.43,0.29,0.03
0.07,"(844, 239, 350, 350)",0.0,0.17,0.0,0.43,0.29,0.03
0.07,"(844, 239, 350, 350)",0.0,0.17,0.0,0.43,0.29,0.03
0.08,"(844, 238, 351, 351)",0.0,0.16,0.0,0.4,0.34,0.02
0.08,"(844, 238, 351, 351)",0.0,0.16,0.0,0.4,0.34,0.02
0.08,"(843, 238, 352, 352)",0.0,0.13,0.0,0.43,0.33,0.03
0.08,"(843, 238, 352, 352)",0.0,0.14,0.0,0.43,0.33,0.03
0.08,"(843, 238, 352, 352)",0.0,0.14,0.0,0.43,0.33,0.03
0.1,"(845, 243, 350, 350)",0.0,0.13,0.0,0.46,0.28,0.03
0.1,"(845, 243, 350, 350)",0.0,0.13,0.0,0.46,0.29,0.03
0.09,"(845, 244, 351, 351)",0.0,0.1,0.0,0.55,0.25,0.01
0.09,"(845, 244, 351, 351)",0.0,0.1,0.0,0.54,0.25,0.01
0.09,"(845, 244, 351, 351)",0.0,0.1,0.0,0.54,0.25,0.01
0.07,"(841, 241, 356, 356)",0.0,0.08,0.0,0.57,0.26,0.01
0.07,"(841, 241, 356, 356)",0.0,0.08,0.0,0.58,0.26,0.01
0.07,"(840, 242, 355, 355)",0.0,0.08,0.0,0.57,0.25,0.02
0.07,"(840, 241, 356, 356)",0.0,0.09,0.0,0.57,0.25,0.02
0.07,"(839, 241, 357, 357)",0.0,0.1,0.0,0.56,0.24,0.03
0.09,"(827, 237, 367, 367)",0.0,0.15,0.0,0.35,0.36,0.05
0.09,"(827, 237, 367, 367)",0.0,0.15,0.0,0.35,0.36,0.05
0.08,"(826, 240, 368, 368)",0.0,0.13,0.0,0.43,0.27,0.08
0.08,"(826, 240, 368, 368)",0.0,0.13,0.0,0.44,0.28,0.07
0.08,"(826, 240, 368, 368)",0.0,0.13,0.0,0.44,0.28,0.07
0.06,"(832, 242, 363, 363)",0.0,0.08,0.0,0.51,0.34,0.02
0.05,"(832, 241, 364, 364)",0.0,0.06,0.0,0.55,0.32,0.02
0.07,"(833, 242, 364, 364)",0.0,0.06,0.0,0.48,0.36,0.02
0.08,"(833, 242, 363, 363)",0.0,0.05,0.0,0.49,0.36,0.02
0.08,"(833, 242, 363, 363)",0.0,0.05,0.0,0.49,0.36,0.02
0.04,"(834, 242, 363, 363)",0.0,0.08,0.0,0.49,0.36,0.03
0.04,"(834, 242, 363, 363)",0.0,0.08,0.0,0.5,0.35,0.03
0.06,"(834, 247, 358, 358)",0.0,0.17,0.0,0.37,0.33,0.06
0.05,"(832, 246, 360, 360)",0.0,0.14,0.0,0.46,0.31,0.05
0.05,"(832, 246, 360, 360)",0.0,0.14,0.0,0.46,0.31,0.05
0.05,"(832, 248, 357, 357)",0.0,0.17,0.0,0.43,0.31,0.04
0.07,"(832, 247, 357, 357)",0.0,0.16,0.0,0.38,0.34,0.05
0.06,"(830, 246, 359, 359)",0.0,0.14,0.0,0.36,0.36,0.07
0.07,"(838, 245, 357, 357)",0.0,0.09,0.0,0.4,0.36,0.08
0.07,"(838, 245, 357, 357)",0.0,0.09,0.0,0.4,0.36,0.08
0.06,"(829, 244, 361, 361)",0.0,0.15,0.0,0.38,0.36,0.05
0.06,"(829, 244, 361, 361)",0.0,0.15,0.0,0.38,0.36,0.05
0.05,"(825, 233, 370, 370)",0.0,0.13,0.0,0.4,0.39,0.02
0.06,"(825, 232, 371, 371)",0.0,0.12,0.0,0.38,0.42,0.02
0.06,"(825, 232, 371, 371)",0.0,0.12,0.0,0.38,0.42,0.02
0.05,"(824, 232, 373, 373)",0.0,0.12,0.0,0.39,0.41,0.02
0.05,"(824, 232, 373, 373)",0.0,0.13,0.0,0.4,0.41,0.02
0.05,"(829, 235, 373, 373)",0.0,0.09,0.0,0.51,0.33,0.02
0.05,"(829, 235, 373, 373)",0.0,0.09,0.0,0.52,0.33,0.02
0.06,"(829, 235, 372, 372)",0.0,0.07,0.0,0.55,0.31,0.01
0.05,"(828, 234, 373, 373)",0.0,0.1,0.0,0.44,0.4,0.01
0.05,"(828, 234, 373, 373)",0.0,0.1,0.0,0.45,0.39,0.01
0.06,"(836, 226, 369, 369)",0.0,0.08,0.0,0.49,0.35,0.01
0.06,"(836, 226, 369, 369)",0.0,0.08,0.0,0.49,0.35,0.01
0.06,"(836, 226, 369, 369)",0.0,0.08,0.0,0.49,0.35,0.01
0.05,"(846, 239, 354, 354)",0.0,0.06,0.0,0.7,0.18,0.01
0.06,"(847, 240, 353, 353)",0.0,0.07,0.0,0.68,0.18,0.01
0.07,"(848, 237, 352, 352)",0.0,0.08,0.0,0.62,0.2,0.02
0.05,"(849, 238, 351, 351)",0.0,0.07,0.0,0.68,0.18,0.02
0.05,"(849, 238, 351, 351)",0.0,0.07,0.0,0.68,0.18,0.02
0.08,"(847, 233, 355, 355)",0.0,0.07,0.0,0.65,0.19,0.01
0.08,"(847, 233, 355, 355)",0.0,0.07,0.0,0.65,0.19,0.01
0.1,"(852, 232, 349, 349)",0.0,0.15,0.0,0.52,0.21,0.02
0.08,"(853, 232, 348, 348)",0.0,0.13,0.0,0.57,0.2,0.01
0.08,"(853, 232, 348, 348)",0.0,0.13,0.0,0.57,0.2,0.01
0.07,"(860, 240, 338, 338)",0.0,0.13,0.0,0.63,0.14,0.03
0.08,"(858, 240, 339, 339)",0.0,0.12,0.0,0.64,0.14,0.02
0.17,"(857, 219, 345, 345)",0.0,0.24,0.0,0.27,0.31,0.02
0.16,"(858, 219, 344, 344)",0.0,0.26,0.0,0.29,0.26,0.02
0.16,"(858, 219, 344, 344)",0.0,0.26,0.0,0.29,0.26,0.02
0.1,"(856, 215, 345, 345)",0.0,0.23,0.0,0.39,0.26,0.01
0.11,"(856, 215, 345, 345)",0.0,0.23,0.0,0.39,0.26,0.01
0.17,"(863, 211, 332, 332)",0.0,0.31,0.0,0.27,0.24,0.02
0.15,"(864, 211, 331, 331)",0.0,0.28,0.0,0.32,0.24,0.02
0.18,"(863, 211, 332, 332)",0.0,0.3,0.0,0.27,0.24,0.02
0.07,"(861, 211, 339, 339)",0.0,0.19,0.0,0.51,0.22,0.01
0.07,"(861, 211, 340, 340)",0.0,0.2,0.0,0.5,0.21,0.02
0.07,"(863, 212, 337, 337)",0.0,0.23,0.0,0.48,0.21,0.01
0.07,"(861, 211, 338, 338)",0.0,0.18,0.0,0.53,0.2,0.02
0.01,"(842, 234, 351, 351)",0.0,0.05,0.0,0.86,0.08,0.01
0.01,"(844, 234, 351, 351)",0.0,0.05,0.0,0.84,0.08,0.02
0.01,"(844, 234, 351, 351)",0.0,0.05,0.0,0.83,0.09,0.02
0.01,"(844, 234, 351, 351)",0.0,0.05,0.0,0.83,0.09,0.02
0.01,"(847, 235, 349, 349)",0.0,0.06,0.0,0.82,0.09,0.02
0.01,"(845, 235, 351, 351)",0.0,0.06,0.0,0.82,0.09,0.01
0.02,"(845, 235, 351, 351)",0.0,0.06,0.0,0.81,0.09,0.01
0.02,"(845, 235, 351, 351)",0.0,0.06,0.0,0.81,0.09,0.01
